Enter pokemon 1: Enter pokemon 2: Pokemon 1: pikachu
Pokemon 1 moves: 
pikachu : 5 -> 80 - MinimalResource(id=1, name='normal')
pikachu : 6 -> 40 - MinimalResource(id=1, name='normal')
pikachu : 9 -> 75 - MinimalResource(id=13, name='electric')
pikachu : 21 -> 80 - MinimalResource(id=1, name='normal')
pikachu : 24 -> 30 - MinimalResource(id=2, name='fighting')
pikachu : 25 -> 120 - MinimalResource(id=1, name='normal')
pikachu : 29 -> 70 - MinimalResource(id=1, name='normal')
pikachu : 34 -> 85 - MinimalResource(id=1, name='normal')
pikachu : 36 -> 90 - MinimalResource(id=1, name='normal')
pikachu : 38 -> 120 - MinimalResource(id=1, name='normal')
pikachu : 39 -> {} - MinimalResource(id=1, name='normal')
pikachu : 45 -> {} - MinimalResource(id=1, name='normal')
pikachu : 57 -> 90 - MinimalResource(id=11, name='water')
pikachu : 66 -> 80 - MinimalResource(id=2, name='fighting')
pikachu : 68 -> {} - MinimalResource(id=2, name='fighting')
pikachu : 69 -> {} - MinimalResource(id=2, name='fighting')
pikachu : 70 -> 80 - MinimalResource(id=1, name='normal')
pikachu : 84 -> 40 - MinimalResource(id=13, name='electric')
pikachu : 85 -> 90 - MinimalResource(id=13, name='electric')
pikachu : 86 -> {} - MinimalResource(id=13, name='electric')
pikachu : 87 -> 110 - MinimalResource(id=13, name='electric')
pikachu : 91 -> 80 - MinimalResource(id=5, name='ground')
pikachu : 92 -> {} - MinimalResource(id=4, name='poison')
pikachu : 97 -> {} - MinimalResource(id=14, name='psychic')
pikachu : 98 -> 40 - MinimalResource(id=1, name='normal')
pikachu : 99 -> 20 - MinimalResource(id=1, name='normal')
pikachu : 102 -> {} - MinimalResource(id=1, name='normal')
pikachu : 104 -> {} - MinimalResource(id=1, name='normal')
pikachu : 111 -> {} - MinimalResource(id=1, name='normal')
pikachu : 113 -> {} - MinimalResource(id=14, name='psychic')
pikachu : 115 -> {} - MinimalResource(id=14, name='psychic')
pikachu : 117 -> {} - MinimalResource(id=1, name='normal')
pikachu : 129 -> 60 - MinimalResource(id=1, name='normal')
pikachu : 130 -> 130 - MinimalResource(id=1, name='normal')
pikachu : 148 -> {} - MinimalResource(id=1, name='normal')
pikachu : 156 -> {} - MinimalResource(id=14, name='psychic')
pikachu : 164 -> {} - MinimalResource(id=1, name='normal')
pikachu : 168 -> 60 - MinimalResource(id=17, name='dark')
pikachu : 173 -> 50 - MinimalResource(id=1, name='normal')
pikachu : 174 -> {} - MinimalResource(id=8, name='ghost')
pikachu : 179 -> {} - MinimalResource(id=2, name='fighting')
pikachu : 182 -> {} - MinimalResource(id=1, name='normal')
pikachu : 186 -> {} - MinimalResource(id=18, name='fairy')
pikachu : 189 -> 20 - MinimalResource(id=5, name='ground')
pikachu : 192 -> 120 - MinimalResource(id=13, name='electric')
pikachu : 197 -> {} - MinimalResource(id=2, name='fighting')
pikachu : 203 -> {} - MinimalResource(id=1, name='normal')
pikachu : 204 -> {} - MinimalResource(id=18, name='fairy')
pikachu : 205 -> 30 - MinimalResource(id=6, name='rock')
pikachu : 207 -> {} - MinimalResource(id=1, name='normal')
pikachu : 209 -> 65 - MinimalResource(id=13, name='electric')
pikachu : 213 -> {} - MinimalResource(id=1, name='normal')
pikachu : 214 -> {} - MinimalResource(id=1, name='normal')
pikachu : 216 -> {} - MinimalResource(id=1, name='normal')
pikachu : 218 -> {} - MinimalResource(id=1, name='normal')
pikachu : 223 -> 100 - MinimalResource(id=2, name='fighting')
pikachu : 227 -> {} - MinimalResource(id=1, name='normal')
pikachu : 231 -> 100 - MinimalResource(id=9, name='steel')
pikachu : 237 -> 60 - MinimalResource(id=1, name='normal')
pikachu : 240 -> {} - MinimalResource(id=11, name='water')
pikachu : 249 -> 40 - MinimalResource(id=2, name='fighting')
pikachu : 253 -> 90 - MinimalResource(id=1, name='normal')
pikachu : 263 -> 70 - MinimalResource(id=1, name='normal')
pikachu : 264 -> 150 - MinimalResource(id=2, name='fighting')
pikachu : 270 -> {} - MinimalResource(id=1, name='normal')
pikachu : 280 -> 75 - MinimalResource(id=2, name='fighting')
pikachu : 282 -> 65 - MinimalResource(id=17, name='dark')
pikachu : 290 -> 70 - MinimalResource(id=1, name='normal')
pikachu : 313 -> {} - MinimalResource(id=17, name='dark')
pikachu : 324 -> 75 - MinimalResource(id=7, name='bug')
pikachu : 343 -> 60 - MinimalResource(id=1, name='normal')
pikachu : 344 -> 120 - MinimalResource(id=13, name='electric')
pikachu : 347 -> {} - MinimalResource(id=14, name='psychic')
pikachu : 351 -> 60 - MinimalResource(id=13, name='electric')
pikachu : 363 -> {} - MinimalResource(id=1, name='normal')
pikachu : 364 -> 30 - MinimalResource(id=1, name='normal')
pikachu : 374 -> {} - MinimalResource(id=17, name='dark')
pikachu : 393 -> {} - MinimalResource(id=13, name='electric')
pikachu : 417 -> {} - MinimalResource(id=17, name='dark')
